kappa, group speed, phase speed
266,0.206447,0.239979
267,0.206755,0.239854
268,0.207063,0.239731
269,0.207372,0.239611
270,0.207682,0.239492
271,0.207992,0.239375
272,0.208303,0.23926
273,0.208615,0.239147
274,0.208927,0.239036
275,0.20924,0.238928
276,0.209553,0.238821
277,0.209867,0.238715
278,0.210182,0.238612
279,0.210497,0.238511
280,0.210812,0.238411
281,0.211128,0.238314
282,0.211445,0.238218
283,0.211762,0.238124
284,0.212079,0.238032
285,0.212397,0.237941
286,0.212715,0.237852
287,0.213034,0.237765
288,0.213354,0.23768
289,0.213673,0.237596
290,0.213994,0.237514
291,0.214314,0.237434
292,0.214635,0.237356
293,0.214956,0.237279
294,0.215278,0.237203
295,0.2156,0.237129
296,0.215923,0.237057
297,0.216246,0.236987
298,0.216569,0.236918
299,0.216892,0.23685
300,0.217216,0.236784
301,0.21754,0.23672
302,0.217865,0.236657
303,0.21819,0.236595
304,0.218515,0.236535
305,0.21884,0.236477
306,0.219166,0.236419
307,0.219492,0.236364
308,0.219818,0.23631
309,0.220145,0.236257
310,0.220471,0.236205
311,0.220798,0.236155
312,0.221125,0.236106
313,0.221453,0.236059
314,0.22178,0.236013
315,0.222108,0.235968
316,0.222436,0.235925
317,0.222765,0.235883
318,0.223093,0.235842
319,0.223422,0.235803
320,0.223751,0.235765
321,0.22408,0.235728
322,0.224409,0.235692
323,0.224738,0.235658
324,0.225068,0.235625
325,0.225397,0.235593
326,0.225727,0.235562
327,0.226057,0.235532
328,0.226387,0.235504
329,0.226717,0.235477
330,0.227048,0.235451
331,0.227378,0.235426
332,0.227709,0.235402
333,0.228039,0.235379
334,0.22837,0.235358
335,0.228701,0.235337
336,0.229032,0.235318
337,0.229363,0.2353
338,0.229694,0.235283
339,0.230025,0.235267
340,0.230356,0.235252
341,0.230687,0.235238
342,0.231019,0.235225
343,0.23135,0.235214
344,0.231682,0.235203
345,0.232013,0.235193
346,0.232345,0.235184
347,0.232676,0.235177
348,0.233008,0.23517
349,0.23334,0.235164
350,0.233671,0.23516
351,0.234003,0.235156
352,0.234335,0.235153
353,0.234666,0.235151
354,0.234998,0.23515
355,0.23533,0.23515
356,0.235661,0.235151
357,0.235993,0.235153
358,0.236325,0.235156
359,0.236656,0.23516
360,0.236988,0.235164
361,0.23732,0.23517
362,0.237651,0.235176
363,0.237983,0.235183
364,0.238314,0.235192
365,0.238646,0.235201
366,0.238977,0.23521
367,0.239309,0.235221
368,0.23964,0.235233
369,0.239972,0.235245
370,0.240303,0.235258
371,0.240634,0.235272
372,0.240965,0.235287
373,0.241296,0.235303
374,0.241627,0.235319
375,0.241958,0.235337
376,0.242289,0.235355
377,0.24262,0.235374
378,0.242951,0.235393
379,0.243282,0.235414
380,0.243612,0.235435
381,0.243943,0.235457
382,0.244273,0.235479
383,0.244603,0.235503
384,0.244934,0.235527
385,0.245264,0.235552
386,0.245594,0.235577
387,0.245924,0.235603
388,0.246254,0.23563
389,0.246583,0.235658
390,0.246913,0.235687
391,0.247243,0.235716
392,0.247572,0.235746
393,0.247901,0.235776
394,0.24823,0.235807
395,0.248559,0.235839
396,0.248888,0.235872
397,0.249217,0.235905
398,0.249546,0.235939
399,0.249874,0.235973
400,0.250203,0.236008
401,0.250531,0.236044
402,0.250859,0.236081
403,0.251187,0.236118
404,0.251515,0.236156
405,0.251843,0.236194
406,0.252171,0.236233
407,0.252498,0.236272
408,0.252825,0.236313
409,0.253153,0.236353
410,0.25348,0.236395
411,0.253806,0.236437
412,0.254133,0.236479
413,0.25446,0.236522
414,0.254786,0.236566
415,0.255112,0.23661
416,0.255438,0.236655
417,0.255764,0.236701
418,0.25609,0.236747
419,0.256416,0.236793
420,0.256741,0.23684
421,0.257066,0.236888
422,0.257392,0.236936
423,0.257717,0.236985
424,0.258041,0.237034
425,0.258366,0.237084
426,0.25869,0.237134
427,0.259015,0.237185
428,0.259339,0.237237
429,0.259662,0.237288
430,0.259986,0.237341
431,0.26031,0.237394
432,0.260633,0.237447
433,0.260956,0.237501
434,0.261279,0.237556
435,0.261602,0.23761
436,0.261925,0.237666
437,0.262247,0.237722
438,0.262569,0.237778
439,0.262891,0.237835
440,0.263213,0.237892
441,0.263535,0.23795
442,0.263856,0.238008
443,0.264178,0.238067
444,0.264499,0.238126
445,0.264819,0.238186
446,0.26514,0.238246
447,0.265461,0.238306
448,0.265781,0.238367
449,0.266101,0.238429
450,0.266421,0.238491
451,0.266741,0.238553
452,0.26706,0.238616
453,0.267379,0.238679
454,0.267698,0.238742
455,0.268017,0.238806
456,0.268336,0.238871
457,0.268654,0.238936
458,0.268973,0.239001
459,0.269291,0.239066
460,0.269609,0.239132
461,0.269926,0.239199
462,0.270244,0.239266
463,0.270561,0.239333
464,0.270878,0.239401
465,0.271195,0.239469
466,0.271511,0.239537
467,0.271828,0.239606
468,0.272144,0.239675
469,0.27246,0.239745
470,0.272775,0.239815
471,0.273091,0.239885
472,0.273406,0.239956
473,0.273721,0.240027
474,0.274036,0.240098
475,0.274351,0.24017
476,0.274665,0.240242
477,0.274979,0.240315
478,0.275293,0.240387
479,0.275607,0.240461
480,0.275921,0.240534
481,0.276234,0.240608
482,0.276547,0.240682
483,0.27686,0.240757
484,0.277173,0.240832
485,0.277485,0.240907
486,0.277797,0.240983
487,0.278109,0.241059
488,0.278421,0.241135
489,0.278733,0.241211
490,0.279044,0.241288
491,0.279355,0.241365
492,0.279666,0.241443
493,0.279977,0.241521
494,0.280287,0.241599
495,0.280597,0.241677
496,0.280907,0.241756
497,0.281217,0.241835
498,0.281526,0.241915
499,0.281836,0.241994
500,0.282145,0.242074
501,0.282454,0.242155
502,0.282762,0.242235
503,0.283071,0.242316
504,0.283379,0.242397
505,0.283687,0.242479
506,0.283994,0.24256
507,0.284302,0.242643
508,0.284609,0.242725
509,0.284916,0.242807
510,0.285223,0.24289
511,0.285529,0.242973
512,0.285836,0.243057
513,0.286142,0.243141
514,0.286448,0.243224
515,0.286753,0.243309
516,0.287059,0.243393
517,0.287364,0.243478
518,0.287669,0.243563
519,0.287973,0.243648
520,0.288278,0.243734
521,0.288582,0.24382
522,0.288886,0.243906
523,0.28919,0.243992
524,0.289494,0.244078
525,0.289797,0.244165
526,0.2901,0.244252
527,0.290403,0.24434
528,0.290706,0.244427
529,0.291008,0.244515
530,0.29131,0.244603
531,0.291612,0.244691
532,0.291914,0.24478
533,0.292215,0.244868
534,0.292516,0.244957
535,0.292817,0.245046
536,0.293118,0.245136
537,0.293419,0.245225
538,0.293719,0.245315
539,0.294019,0.245405
540,0.294319,0.245496
541,0.294619,0.245586
542,0.294918,0.245677
543,0.295217,0.245768
544,0.295516,0.245859
545,0.295815,0.245951
546,0.296113,0.246042
547,0.296412,0.246134
548,0.29671,0.246226
549,0.297007,0.246318
550,0.297305,0.246411
551,0.297602,0.246503
552,0.297899,0.246596
553,0.298196,0.246689
554,0.298493,0.246782
555,0.298789,0.246876
